item_type,base_material,lining,fitting_type,nb_1,nb_2,angle,price_usd
fitting,SS304,PFA,strainer_y,80,80,,19610
fitting,SS304,PFA,strainer_y,100,100,,23395.79
fitting,SS304,PFA,swing_check_valve,25,25,,2487.29
fitting,SS304,PFA,swing_check_valve,40,40,,2952.895
fitting,SS304,PFA,swing_check_valve,50,50,,3323.895
fitting,SS304,PFA,swing_check_valve,80,80,,4554.29
fitting,SS304,PFA,swing_check_valve,100,100,,5674.71
fitting,SS304,PFA,swing_check_valve,150,150,,10210.185
fitting,SS304,PFA,flush_bottom_valve,80,50,,10524.21
fitting,SS304,PFA,flush_bottom_valve,100,80,,13552.895
fitting,SS304,PFA,flush_bottom_valve,150,100,,19610
fitting,SS304,PFA,butterfly_valve,25,25,,3089.105
fitting,SS304,PFA,butterfly_valve,40,40,,3316.21
fitting,SS304,PFA,butterfly_valve,50,50,,3626.79
fitting,SS304,PFA,butterfly_valve,80,80,,4626.105
fitting,SS304,PFA,butterfly_valve,100,100,,6413
fitting,SS304,PFA,butterfly_valve,150,150,,9373.315
